National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Code,Country Code,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1245225077,RODRIGUEZ,MD,M,I,BRADENTON,342093201,FL,US,Internal Medicine,Y,O,83036,Hemoglobin A1C level,N,134,91,134,13.75,0,28,0,13.75
1760595664,WINGREN,MD,M,I,GIG HARBOR,983328738,WA,US,Family Practice,Y,F,99308,"Subsequent nursing facility visit, typically 15 minutes per day",N,73,21,73,65.99,0,92.37,11.62,49.09
1508805490,JASZCZAK,MD,F,I,TROY,480836106,MI,US,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,85,75,85,72.49,0,120,0,57.99
1992706618,CONGER,MD,M,I,COLUMBIA,210442896,MD,US,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,27,27,27,64.18,3.33,72.78,5.33,64.18
1982656286,PAGE,DO,F,I,BRICK,87247770,NJ,US,Otolaryngology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,29,29,29,98.91,0,200,0,72.42
1093797581,PALAZZO,MD,M,I,KIRKLAND,980343013,WA,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,229,96,229,73.48,0,142.74,5.35,57.29
1467627836,WARDEN,NP-C,F,I,GREENSBORO,274031129,NC,US,Nurse Practitioner,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,39,29,39,34.27,0,103,0,25.21
1811964562,WALTHER,MD,M,I,CONCORD,17424159,MA,US,Diagnostic Radiology,Y,F,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,42,42,42,36.19,0,101,0,36.19
1861445009,SCHERMOLY,MD,M,I,OLATHE,660617249,KS,US,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,16,16,16,63,0,63,0,63
1487607909,KANDT,MD,M,I,WINSTON SALEM,271570001,NC,US,Neurology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,36,26,36,73.62,0,172.53,20.87,55.8
1245287317,CHRISTOFF,MD,M,I,CHICAGO,606575081,IL,US,Internal Medicine,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,225,71,225,3,0,20,0,3
1841405099,BHASIN,MD,F,I,LAKEWOOD,984993071,WA,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,82,81,82,24.34,0,55,0,24.34
1285683177,MEDINA,C.R.N.A.,F,I,BALTIMORE,212870005,MD,US,CRNA,Y,F,142,Anesthesia for lens surgery,N,176,170,176,80.55,16.54,342.87,66.77,63.97
1639139835,FLEMMING,O,M,I,TROY,480851117,MI,US,Diagnostic Radiology,Y,F,72170,"X-ray of pelvis, 1 or 2 views",N,27,26,26,10.2,0,79,0,7.56
1366435166,DARROW,PAC,F,I,FAYETTEVILLE,25840,WV,US,Physician Assistant,Y,O,71020,"X-ray of chest, 2 views, front and side",N,69,67,69,22.81,0.72,159.26,0.85,17.19
1437162732,FRANKS,MD,M,I,FRANKLIN,28734,NC,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,217,89,211,67.51,0,190.71,27.03,53.07
1932155520,MINOR,MD,F,I,DANVERS,1923,MA,US,Internal Medicine,Y,O,81003,Automated urinalysis test,N,22,19,22,3.18,0,18,0,3.18
1780772111,SANTOS,MD,M,I,SACRAMENTO,958165616,CA,US,Diagnostic Radiology,Y,O,73562,"X-ray of knee, 3 views",N,15,13,13,9.79,0,35,0,7.83
1932319449,FIGURES,MD,F,I,WEST MEMPHIS,723014215,AR,US,Geriatric Medicine,Y,O,G0009,Administration of pneumococcal vaccine,N,44,44,44,21.54,0,30,0,21.54
1891804225,THRIFTY PAYLESS INC,O,O,O,PORTERVILLE,932572331,CA,US,Mass Immunization Roster Biller,Y,O,G0009,Administration of pneumococcal vaccine,N,29,29,29,9.52,1.57,9.52,1.57,9.52
1851384218,HETLAND,OD,M,I,CANOGA PARK,913042344,CA,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,15,15,15,96.67,8.5,96.67,8.5,63.27
1881650760,AYYOUB,MD,F,I,SAINT CLAIR SHORES,480811248,MI,US,Nephrology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,206,110,206,73.59,0.37,82.55,7.04,55.21
1134360456,SAFUR,D.O.,M,I,MINEOLA,115013901,NY,US,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,15,15,15,198.93,67.7,209.5,70.64,159.14
1669598561,CIRILLI,MD,M,I,GREENVILLE,38703,MS,US,Internal Medicine,Y,O,81002,"Urinalysis, manual test",N,69,51,69,3.62,0,10,0,3.62
1144294851,PRABHAKAR,MD,F,I,PHILADELPHIA,191076130,PA,US,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,39,39,39,31.21,0,96,0,24.33
1720242597,WOLF,MD,F,I,MANHASSET,110303816,NY,US,Cardiology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,365,155,365,111.74,0,220,0,88.63
1134343379,GREWAL,MD,M,I,SAINT LOUIS,631183930,MO,US,Family Practice,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,24,17,24,102.12,0,130,0,81.7
1245227305,SUTKOWSKI,MD,M,I,EVANSVILLE,477101782,IN,US,Diagnostic Radiology,Y,F,73560,"X-ray of knee, 1 or 2 views",N,23,21,21,8.93,0,32,0,6.52
1134189764,JOLIVETTE,MD,M,I,NEWTON,502083155,IA,US,Family Practice,Y,O,G0008,Administration of influenza virus vaccine,N,41,41,41,20,0,20,0,20
1689679425,SPAGNOLO,MD,M,I,GLEN BURNIE,210615865,MD,US,Ophthalmology,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,148,148,148,154.8,0,160,0,102.86
1649279035,PRIVALOV,MD,M,I,SALEM,973013998,OR,US,Nephrology,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,21,19,21,189.62,0,358.24,10.97,146.85
1952360349,MARTINEZ-BARRENECHE,MD,M,I,TAMPA,336125513,FL,US,Diagnostic Radiology,Y,O,72170,"X-ray of pelvis, 1 or 2 views",N,16,15,16,19.89,8.45,60.63,22.6,14.54
1184679607,BAUMGARTNER,MD,M,I,WAITE PARK,563871964,MN,US,Family Practice,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,43,43,43,155.88,0,339.6,0,117.29
1891704003,ERWIN,MD,F,I,WILLIAMSBURG,231852833,VA,US,Emergency Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,77,77,77,212.84,0,761,0,166.8
1225000649,BURDINE,MD,M,I,BATON ROUGE,708084300,LA,US,Interventional Pain Management,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,982,390,982,65.54,0,130,0,47.31
