National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Label,State Code,Country Code,Provider Type Label,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1245225077,RODRIGUEZ,MD,1,1,BRADENTON,342093201,1,FL,US,1,Internal Medicine,Y,O,83036,Hemoglobin A1C level,N,134,91,134,13.75,0,28,0,13.75
1760595664,WINGREN,MD,1,1,GIG HARBOR,983328738,2,WA,US,2,Family Practice,Y,F,99308,"Subsequent nursing facility visit, typically 15 minutes per day",N,73,21,73,65.99,0,92.37,11.62,49.09
1508805490,JASZCZAK,MD,2,1,TROY,480836106,3,MI,US,1,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,85,75,85,72.49,0,120,0,57.99
1992706618,CONGER,MD,1,1,COLUMBIA,210442896,4,MD,US,1,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,27,27,27,64.18,3.33,72.78,5.33,64.18
1982656286,PAGE,DO,2,1,BRICK,87247770,5,NJ,US,3,Otolaryngology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,29,29,29,98.91,0,200,0,72.42
1093797581,PALAZZO,MD,1,1,KIRKLAND,980343013,2,WA,US,1,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,229,96,229,73.48,0,142.74,5.35,57.29
1467627836,WARDEN,NP-C,2,1,GREENSBORO,274031129,6,NC,US,4,Nurse Practitioner,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,39,29,39,34.27,0,103,0,25.21
1811964562,WALTHER,MD,1,1,CONCORD,17424159,7,MA,US,5,Diagnostic Radiology,Y,F,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,42,42,42,36.19,0,101,0,36.19
1861445009,SCHERMOLY,MD,1,1,OLATHE,660617249,8,KS,US,1,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,16,16,16,63,0,63,0,63
1487607909,KANDT,MD,1,1,WINSTON SALEM,271570001,6,NC,US,6,Neurology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,36,26,36,73.62,0,172.53,20.87,55.8
1245287317,CHRISTOFF,MD,1,1,CHICAGO,606575081,9,IL,US,1,Internal Medicine,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,225,71,225,3,0,20,0,3
1841405099,BHASIN,MD,2,1,LAKEWOOD,984993071,2,WA,US,1,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,82,81,82,24.34,0,55,0,24.34
1285683177,MEDINA,C.R.N.A.,2,1,BALTIMORE,212870005,4,MD,US,7,CRNA,Y,F,142,Anesthesia for lens surgery,N,176,170,176,80.55,16.54,342.87,66.77,63.97
1639139835,FLEMMING,O,1,1,TROY,480851117,3,MI,US,5,Diagnostic Radiology,Y,F,72170,"X-ray of pelvis, 1 or 2 views",N,27,26,26,10.2,0,79,0,7.56
1366435166,DARROW,PAC,2,1,FAYETTEVILLE,25840,10,WV,US,8,Physician Assistant,Y,O,71020,"X-ray of chest, 2 views, front and side",N,69,67,69,22.81,0.72,159.26,0.85,17.19
1437162732,FRANKS,MD,1,1,FRANKLIN,28734,6,NC,US,1,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,217,89,211,67.51,0,190.71,27.03,53.07
1932155520,MINOR,MD,2,1,DANVERS,1923,7,MA,US,1,Internal Medicine,Y,O,81003,Automated urinalysis test,N,22,19,22,3.18,0,18,0,3.18
1780772111,SANTOS,MD,1,1,SACRAMENTO,958165616,11,CA,US,5,Diagnostic Radiology,Y,O,73562,"X-ray of knee, 3 views",N,15,13,13,9.79,0,35,0,7.83
1932319449,FIGURES,MD,2,1,WEST MEMPHIS,723014215,12,AR,US,9,Geriatric Medicine,Y,O,G0009,Administration of pneumococcal vaccine,N,44,44,44,21.54,0,30,0,21.54
1891804225,THRIFTY PAYLESS INC,O,3,2,PORTERVILLE,932572331,11,CA,US,10,Mass Immunization Roster Biller,Y,O,G0009,Administration of pneumococcal vaccine,N,29,29,29,9.52,1.57,9.52,1.57,9.52
1851384218,HETLAND,OD,1,1,CANOGA PARK,913042344,11,CA,US,11,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,15,15,15,96.67,8.5,96.67,8.5,63.27
1881650760,AYYOUB,MD,2,1,SAINT CLAIR SHORES,480811248,3,MI,US,12,Nephrology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,206,110,206,73.59,0.37,82.55,7.04,55.21
1134360456,SAFUR,D.O.,1,1,MINEOLA,115013901,13,NY,US,13,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,15,15,15,198.93,67.7,209.5,70.64,159.14
1669598561,CIRILLI,MD,1,1,GREENVILLE,38703,14,MS,US,1,Internal Medicine,Y,O,81002,"Urinalysis, manual test",N,69,51,69,3.62,0,10,0,3.62
1144294851,PRABHAKAR,MD,2,1,PHILADELPHIA,191076130,15,PA,US,5,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,39,39,39,31.21,0,96,0,24.33
1720242597,WOLF,MD,2,1,MANHASSET,110303816,13,NY,US,14,Cardiology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,365,155,365,111.74,0,220,0,88.63
1134343379,GREWAL,MD,1,1,SAINT LOUIS,631183930,16,MO,US,2,Family Practice,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,24,17,24,102.12,0,130,0,81.7
1245227305,SUTKOWSKI,MD,1,1,EVANSVILLE,477101782,17,IN,US,5,Diagnostic Radiology,Y,F,73560,"X-ray of knee, 1 or 2 views",N,23,21,21,8.93,0,32,0,6.52
1134189764,JOLIVETTE,MD,1,1,NEWTON,502083155,18,IA,US,2,Family Practice,Y,O,G0008,Administration of influenza virus vaccine,N,41,41,41,20,0,20,0,20
1689679425,SPAGNOLO,MD,1,1,GLEN BURNIE,210615865,4,MD,US,15,Ophthalmology,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,148,148,148,154.8,0,160,0,102.86
1649279035,PRIVALOV,MD,1,1,SALEM,973013998,19,OR,US,12,Nephrology,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,21,19,21,189.62,0,358.24,10.97,146.85
1952360349,MARTINEZ-BARRENECHE,MD,1,1,TAMPA,336125513,1,FL,US,5,Diagnostic Radiology,Y,O,72170,"X-ray of pelvis, 1 or 2 views",N,16,15,16,19.89,8.45,60.63,22.6,14.54
1184679607,BAUMGARTNER,MD,1,1,WAITE PARK,563871964,20,MN,US,2,Family Practice,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,43,43,43,155.88,0,339.6,0,117.29
1891704003,ERWIN,MD,2,1,WILLIAMSBURG,231852833,21,VA,US,16,Emergency Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,77,77,77,212.84,0,761,0,166.8
1225000649,BURDINE,MD,1,1,BATON ROUGE,708084300,22,LA,US,17,Interventional Pain Management,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,982,390,982,65.54,0,130,0,47.31
1013931526,MANSKY,MD,1,1,GREEN BAY,543135751,23,WI,US,18,Medical Oncology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,218,105,218,47.57,0.06,156.82,2.76,35.27
1720088834,GROSS,MD,1,1,TUSCALOOSA,354012086,24,AL,US,19,General Surgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,78,76,78,96.3,0,116,0,74.96
1447253760,QURESHI,MD PC,1,1,MONROE,481613798,3,MI,US,1,Internal Medicine,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,727,110,727,98.2,0,150.83,12.82,78.33
1568451128,BINGHAM,MD,1,1,OLIVER SPRINGS,378405008,25,TN,US,2,Family Practice,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,190,189,190,13.91,0.19,17,0,13.91
1700096435,NELSON,MD,1,1,OKLAHOMA CITY,731342503,26,OK,US,5,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,82,82,82,28.13,0.06,177.4,43.3,22.23
1235140997,ACOSTA,MD,1,1,EL PASO,799024000,27,TX,US,6,Neurology,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,100,100,100,190.46,0,330,0,138.05
1952338113,COLLINS,MD,1,1,HOUSTON,770302717,27,TX,US,20,Orthopedic Surgery,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,98,98,98,159.26,10.55,431.31,0.46,115.78
1861401804,RAMAKRISHNA,MD,1,1,PITTSBURGH,15215,15,PA,US,19,General Surgery,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,53,26,53,37.41,0,103,0,29.93
1609862507,BARBATO,MD,1,1,CHICAGO,606313745,9,IL,US,2,Family Practice,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,439,76,439,75.14,0,129,0,59.48
1609823368,KATSETOS,MD,1,1,NEW BRITAIN,60512662,28,CT,US,14,Cardiology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,264,132,264,73.72,0,111.36,10.99,58.57
1609936194,STOUGHTON,MD,1,1,TUCSON,857413118,29,AZ,US,2,Family Practice,Y,O,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",N,777,556,777,9.09,0,24,0,9.09
1427065713,JOHNSON,MD,1,1,GERING,693413227,30,NE,US,2,Family Practice,Y,O,83036,Hemoglobin A1C level,N,158,56,158,13.75,0,36,0,13.75
1811999428,LOEWE,MD,1,1,BATON ROUGE,708084375,22,LA,US,16,Emergency Medicine,Y,F,99283,"Emergency department visit, moderately severe problem",N,43,42,43,57.99,0,318,0,41.24
1962613059,SINEATH,FNP-C,2,1,PENDLETON,978014421,19,OR,US,4,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,39,28,39,85.84,0,266.67,41.1,61.84
1376762625,"HOOK-SUPERX, L.L.C.",O,3,2,PLAINFIELD,461689404,17,IN,US,10,Mass Immunization Roster Biller,Y,O,90656,"Vaccine for influenza injection into muscle, patient 3 years and older",Y,13,13,13,12.4,0.01,12.4,0.01,12.4
1215179346,THORNTON,MD,1,1,SAINT JOSEPH,645066201,16,MO,US,1,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,16,15,16,66.28,0,126,0,53.02
